siren,name,naf,headcount,siteWeb,creationDate,Country Code
948694328,DENERGIUM,58.29C,1,,2023-02-03,FR
948724398,COLLECTI-SOFT,58.29C,2,,2023-02-04,FR
948740741,DARWEEN,71.12B,1,,2023-01-16,FR
948745385,GIE LE MUY,82.99Z,11,,2023-01-05,FR
948746995,HOMENUM,82.99Z,1,,2023-01-20,FR
948758008,MADIZY INSTITUTE,85.59A,1,,2023-02-01,FR
948759717,MILLOREM,85.59A,1,,2023-01-03,FR
948765060,EXAS,71.12B,11,,2023-02-03,FR
948774872,ALPHA CONSULTING,71.12B,3,,2023-02-01,FR
948785308,SATURN,71.12B,2,,2023-01-30,FR
948789284,MAHIEU DIAGNOSTIC IMMOBILIER,71.20B,1,,2023-03-01,FR
948809777,TOP FORMA SOLUTIONS,85.59A,1,,2023-01-24,FR
948812581,VALESCURE DOM,82.99Z,1,,2023-01-16,FR
948814603,FYGO LABS,58.29C,1,,2023-01-12,FR
948815691,CMR CONSTRUCTION,71.12B,1,,2023-02-06,FR
948816947,FLIPPIT,58.29C,1,,2023-01-26,FR
948820204,JN.IMAGES,59.11B,1,,2023-02-06,FR
948831367,ONYX,59.11B,1,,2023-02-08,FR
948839329,MD MULTISERVICES,82.99Z,1,,2023-01-20,FR
948857131,ACTOON,58.29C,1,,2023-02-08,FR
948858238,SUP' COURS PERET,85.59B,1,,2023-02-09,FR
948862149,KARST MICROPRECISION,71.12B,2,,2023-01-16,FR
948868633,SAMEA CONSULTING,82.99Z,1,,2023-02-08,FR
948878293,KOMEA,71.12B,2,,2023-01-17,FR
948878624,SHOP PERFORMANCE,85.59A,1,,2023-01-30,FR
948881529,ACOMAS STRUCTURES,71.12B,1,,2023-02-07,FR
948884705,RETAILLEAU RENOVATIONS 44,71.12B,1,,2023-02-09,FR
948893334,AVENIRTOITS 76,43.91B,2,,2023-02-09,FR
948900675,LOGIADAPT,71.12B,3,,2023-01-01,FR
948902895,IDJ INGENIERIE,71.12B,2,,2023-02-10,FR
948903489,KAZA,82.99Z,1,,2023-01-09,FR
948905369,URBAFONCIER,71.12B,1,,2023-02-10,FR
948907035,PMG,71.12B,2,,2024-06-07,FR
948921853,DOM & GES,82.99Z,1,,2023-01-03,FR
948947148,GALAXIES CLOUD,58.29C,1,,2023-02-08,FR
948957303,AIRKRAFT AVIATION SAS,85.59A,1,,2023-02-01,FR
948963384,BD INFLUENCE,59.11A,1,,2023-02-07,FR
948964705,AFORIANS,85.59A,1,,2023-02-13,FR
948980610,MICE AND HUMANS,58.29C,1,,2023-02-09,FR
948992052,ENVOL ENVIRONNEMENT ALSACE,71.12B,2,,2023-01-31,FR
949003404,CAP SOLUTION,85.59A,1,,2023-02-03,FR
949013346,STUDY RAIL,71.12B,3,,2023-02-14,FR
949014591,INSTITUT DE COACHING INTERNATIONAL FRANCE,85.59A,1,,2023-01-31,FR
949022719,NOYA,82.99Z,1,,2023-02-15,FR
949023790,,,3,,2023-03-02,FR
949025647,BET DOM EXPERTS,71.12B,1,,2023-02-07,FR
949029524,GRESIDOC,71.12B,1,,2023-02-15,FR
949030548,INGUN PRUFMITTELBAU GMBH,71.12B,1,,2023-01-01,FR
949031033,EURL PIERRE FROGER,59.11B,1,,2023-02-09,FR
949033302,TALENT FORMATION DEVELOPMENT,85.59A,1,,2023-02-01,FR
949046015,PISPA,71.12B,1,,2023-02-15,FR
949052013,AM TRADING INTERNATIONAL SERVICE,71.12B,1,,2023-02-13,FR
949062178,ACTENERGY,71.12B,1,,2023-02-01,FR
949067649,PROLYSE,71.12B,2,,2023-01-30,FR
949083737,META-BUILD,71.12B,2,,2023-01-02,FR
949087084,SADITEC NC,71.12B,11,,2023-02-14,FR
949093686,IEFAB,85.59A,1,,2023-02-15,FR
949105639,THECAMP TRAINING,85.59A,1,,2023-02-14,FR
949108955,ARCOE2,71.12B,2,,2023-02-06,FR
949111280,WAU DESIGN,82.99Z,1,,2023-02-14,FR
949115117,APOGEE,68.20B,2,,2023-02-17,FR
949116735,NITREXO FRANCE,71.12B,1,,2023-02-17,FR
949136469,O2M,71.12B,2,,2023-02-16,FR
949143721,MIMECAST FRANCE SARL,58.29C,3,,2023-02-15,FR
949144935,TAMTSE TECHNOLOGY,70.10Z,1,,2023-05-01,FR
949146450,GREEN PORTAGE,82.99Z,3,,2023-01-03,FR
949152276,AI SWITCH,58.29C,1,,2023-02-08,FR
949152334,INDUSTRIAL SOLUTIONS & APPLICATIONS,82.99Z,1,,2023-02-16,FR
949158422,ECB31 - EXPERTISE CONSEIL BATIMENT,71.12B,1,,2023-02-20,FR
949165211,PIXILONE,59.11B,1,,2023-02-13,FR
949166474,BMR CONCEPT,71.12B,1,,2023-02-10,FR
949169635,ELLIPSE FRANCE,71.12B,2,,2023-02-01,FR
949180426,IREXIA,71.12B,1,,2023-02-17,FR
949182737,C-CLERC,58.29C,1,,2023-02-14,FR
949184766,ACCOMPAGNEMENT COMPETENCES DEVELOPPEMENT METIERS DE LA SOLIDARITE,85.59A,1,,2023-03-01,FR
949187504,HEXAGONE INGENIERIE,71.12B,1,,2023-02-15,FR
949189880,SOBAL ENERGY,71.12B,1,,2023-02-13,FR
949202634,SRG DECO,71.12B,2,,2023-02-01,FR
949203376,OFFICE SB,85.59A,1,,2023-02-17,FR
949203426,WE ARE ATHLETIC,85.51Z,1,,2023-02-09,FR
949203970,ANJOU TOITURES PROFESSIONNELLES,43.91B,1,,2023-02-17,FR
949215768,2I PORTAGE IDF,82.99Z,12,,2023-02-01,FR
949219588,AUDDICE SEINE NORMANDIE,71.12B,11,,2023-02-22,FR
949226468,FORMATION.SOCIAL,85.59A,1,,2023-02-23,FR
949239321,BILL SOLUTIONS,58.29C,1,,2023-02-16,FR
949270136,REAL ESTATE TECHNICAL ADVISORY,71.12B,1,,2023-02-20,FR
949270870,HAPPY ASSUR,58.29C,1,,2023-01-31,FR
949271811,HD CONSEIL,71.12B,1,,2023-02-15,FR
949273429,AMP CONCEPT 42,71.12B,1,,2023-03-01,FR
949274096,BP CONCEPTION,71.12B,1,,2023-02-22,FR
949274666,SKYGLIDE PRODUCTIONS SARL,59.11B,1,,2023-02-21,FR
949283196,NOMAD CONCEPT,71.12B,1,,2023-01-09,FR
949285209,CHAAK,71.12B,1,,2023-01-25,FR
949288724,STUD'I STRUCTURES,71.12B,1,,2023-02-16,FR
949297790,STARFISH,82.99Z,1,,2023-02-15,FR
949306245,CHARLATHAN CLUB,58.29C,12,,2023-02-13,FR
949309496,TDMR,85.59A,1,,2023-02-09,FR
949310643,MULTI-SERVICES94,43.21A,3,,2023-02-24,FR
949312607,F CORSE,71.12B,1,,2023-01-02,FR
949318307,KASADENN PARIS,71.12B,3,,2023-02-22,FR
949319685,P.R.C.C.,45.20B,2,,2023-02-23,FR
949334726,NOTHE STRUCTURES,71.12B,1,,2023-02-23,FR
949347363,MHC FACILITIES,82.99Z,1,,2023-02-09,FR
949348395,INSERVAL,78.20Z,1,,2023-02-20,FR
949351399,ENERGY SCOUT,71.12B,1,,2023-02-23,FR
949353270,OPPENT FRANCE,71.12B,2,,2023-02-23,FR
949355846,ALPHASCAN,71.12B,1,,2023-02-15,FR
949356836,VYDRA,71.12B,1,,2023-03-01,FR
949358709,HARVY,62.01Z,1,,2023-02-24,FR
949359525,CLIPPER LEARNING & DEVELOPMENT SERVICES,85.59A,1,,2023-02-23,FR
949365829,UP MATER CONSEIL ET FORMATION,85.59A,1,,2023-02-15,FR
949377824,PARIS NORD BUSINESS SCHOOL,85.59A,1,,2023-02-06,FR
949381362,GOTODRIVE,85.59A,1,,2023-02-22,FR
949382311,MILENCE FRANCE SAS,71.12B,3,,2023-02-22,FR
949383814,E-FORMA CAMPUS,85.59A,1,,2023-02-20,FR
949384325,RHREFLEX 83,85.59A,1,,2023-02-13,FR
949398465,ISIM 83,85.59A,11,,2023-02-15,FR
949404479,PROTECTETE INCENDIE 45,80.20Z,1,,2023-02-23,FR
949404628,KEY CONTRACT,70.22Z,12,,2023-02-16,FR
949412399,F&GPP,85.59A,1,,2023-02-01,FR
949419907,STUDIO LAFFITTE,59.11C,1,,2023-02-24,FR
949420533,ODONTALL,85.59A,1,,2023-02-28,FR
949420707,THESEUS,58.29C,2,,2023-02-16,FR
949425706,MOB,71.12B,1,,2023-02-22,FR
