id,registry_id,company_name,trade_name,acronym,activity_code,legal_form_code,employee_band,employee_estimate,has_employees,company_category,founded_date,country_code,signal_source,filter_version,extracted_at,match_keyword,composite_score,confidence,score_breakdown,rank,notes,website,linkedin,linkedin_followers,qa_status,qa_notes,reviewed_at,merged_to,created_at,updated_at,city,address
5b9a60bc-30a1-423f-8e2c-089b3db46c3f,821458122,DRONEXSOLUTION,,,71.12B,5710,01,1,false,PME,2016-07-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,26,high,[object Object],36,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
1eb6596d-3cc0-41e4-9903-687b2f69ec33,792345217,DRONE TECH,,,71.12B,5710,NN,0,false,PME,2013-03-15,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,26,high,[object Object],41,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
48401717-0ad7-46fe-af8c-c501a9f5a5d7,813352754,DRONE 06,,,71.12B,5710,01,1,false,PME,2015-09-04,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,26,high,[object Object],42,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
4ce966e3-557b-4a94-b519-983426751c3d,810401430,ENERGY DRONE,,,71.12B,5499,01,1,false,PME,2015-04-06,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],44,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
23f3db33-e9e6-45e7-8695-fafe2d023d5a,839462074,ALTUS DRONES SERVICES,,ADS,62.01Z,5710,01,1,false,PME,2018-06-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],45,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
60465532-1409-46de-819a-75384c9b3b5a,905304952,DARWIN DRONES,,,46.51Z,5710,11,15,false,PME,2021-11-16,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],46,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
9092740c-40c9-455e-bd86-ec252579cdd9,853223816,DRONE GEOFENCING,,,58.29C,5710,11,15,false,PME,2019-08-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],47,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
61b65c47-e16b-4838-8eda-e25b2c21c4d0,805241999,CARTODRONE,,,71.12B,5499,01,1,false,PME,2014-10-14,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],48,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
be825c40-5391-4272-b768-71d9b88a8109,801525932,DRONE EXPERT SERVICES,,,74.20Z,5710,02,3,false,PME,2014-05-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],49,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
2b62931e-f07b-4c82-9b67-8dd7df5f5e44,844545707,DRONE EXP'AIR TECH,,D.E.T,71.20B,5499,NN,0,false,PME,2018-12-04,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,25,high,[object Object],43,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
15b048ef-25c9-4cc9-8305-0d2d7889f41a,509785820,SINEQUAVERT SERVICES,SINEQUAVERT SERVICES,,81.30Z,5499,02,3,false,PME,2009-01-23,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,24,low,[object Object],51,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
7dc9854b-32ef-4afc-9ed2-9436128c1da8,799787726,MLV DRONE,,,71.12B,5710,NN,0,false,PME,2014-01-02,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],52,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
2aef27a0-791b-4e55-9f5f-c14431c66e09,820118784,DRONE ANALYSE,,,71.20B,5710,NN,0,false,PME,2016-05-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],53,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
85c264ab-6f68-4852-bb89-8978fbff21c8,814986204,ATA DRONE,,,71.12B,5710,NN,0,false,PME,2016-01-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],54,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
8956f871-6222-4dd3-8225-82e2ce9eca71,844227249,ALIZEA DRONE SAS,,,71.12B,5710,NN,0,false,PME,2018-09-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],55,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
df44f236-44e0-4663-bc9e-1a9df4d9b1fa,813560364,DIAG DRONE,,,71.12B,5710,NN,0,false,PME,2015-09-09,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],56,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
75173062-fe31-418c-8b10-f26e945d6b8b,887953180,DRONE INSPECTION,,,71.20B,5499,NN,0,false,PME,2020-08-06,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],50,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
c1eb4288-1c2f-4370-a1fc-4d773aacf901,817882806,HELICOANDRONE,,H&D,52.23Z,5710,03,6,false,PME,2016-02-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],57,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
1bc58826-0254-4490-8763-41722936fbb3,814791638,APPLICATIONS DRONES ET GEOPHYSIQUES,,A.D.&.G,71.12B,5710,NN,0,false,PME,2015-11-20,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],58,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
6f116239-cc21-4e84-b606-f55410ae0131,832050827,ACCESS DRONES,,,71.12B,5710,NN,0,false,PME,2017-09-07,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,24,high,[object Object],59,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
