id,keywords,sources,regions,filter_days,min_score,max_articles,status,articles_fetched,articles_stored,dedup_removed,created_at,completed_at,campaign
run_202603171906568,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,56,6,50,2026-03-17 19:07:00.676+00,2026-03-17 19:07:00.676+00,dsp_6mo_sweep
run_202603171907423,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,55,6,49,2026-03-17 19:07:45.99+00,2026-03-17 19:07:45.99+00,dsp_6mo_sweep
run_202603171908120,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,120,11,109,2026-03-17 19:08:15.599+00,2026-03-17 19:08:15.599+00,dsp_6mo_sweep
run_202603171909121,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,120,11,109,2026-03-17 19:09:15.48+00,2026-03-17 19:09:15.48+00,dsp_6mo_sweep
run_202603171909433,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""US"",""Canada"",""Mexico"",""Brazil"",""UK"",""Germany"",""France"",""Italy""]",7,50,50,completed,168,15,153,2026-03-17 19:09:46.986+00,2026-03-17 19:09:46.986+00,dsp_6mo_sweep
run_202603171911576,"[""DJI Dock"",""DJI Dock 2"",""DJI Dock 3"",""drone in a box"",""drone dock"",""drone docking station""]","[""google_news""]","[""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",7,50,50,completed,168,15,153,2026-03-17 19:12:01.757+00,2026-03-17 19:12:01.757+00,dsp_6mo_sweep
run_202603171921356,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,30,30,0,2026-03-17 19:21:35.631+00,2026-03-17 19:21:35.631+00,null
run_202603171923121,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,30,30,0,2026-03-17 19:23:12.171+00,2026-03-17 19:23:12.171+00,null
run_202603171927469,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,30,30,0,2026-03-17 19:27:46.935+00,2026-03-17 19:27:46.935+00,dsp_6mo_sweep
run_202603171928458,"[""comet_import""]","[""comet_crawler""]",[],0,40,50,completed,30,30,0,2026-03-17 19:28:45.888+00,2026-03-17 19:28:45.888+00,dsp_6mo_sweep
