Company Name,Location,Rating Score,Category,Resolved Website
FLIGHTCRAFT UAV Pty Ltd,"FRANKSTON SOUTH, Vic",70,Specialized Drone Service Provider,https://flightcraftuav.com.au
PRECISION DRONE SOLUTIONS PTY LIMITED,"MUDGEE, New South Wales",70,Specialized Drone Service Provider,https://www.google.com/search?q=PRECISION+DRONE+SOLUTIONS+PTY+official+website+Australia
SPARK INFRASTRUCTURE SA (NO1) PTY LIMITED,"KESWICK, SA",70,Industrial/Engineering Entity,https://www.google.com/search?q=SPARK+INFRASTRUCTURE+SA+NO1+PTY+official+website+Australia
STANMORE RESOURCES LIMITED,"DIDDILLIBAH, Queensland",70,Industrial/Engineering Entity,https://stanmoreresources.com.au
HANDLEY SURVEYS PTY LIMITED,"KEWDALE, WA",70,Industrial/Engineering Entity,https://handleysurveyspty.com.au
KARARA MINING LIMITED,"Perenjori, WA",70,Industrial/Engineering Entity,https://kararamining.com.au
SILVA SKY DRONES PTY LTD,"MORANBAH, Queensland",70,Specialized Drone Service Provider,https://silvaskydrones.com.au
MINERAL RESOURCES LIMITED,"OSBORNE PARK, Western Australia",70,Industrial/Engineering Entity,https://mineralresources.com.au
BENGALLA MINING COMPANY PTY LIMITED,"MUSWELLBROOK, NSW",70,Industrial/Engineering Entity,https://www.google.com/search?q=BENGALLA+MINING+COMPANY+PTY+official+website+Australia
SKY DRONE PTY. LTD.,"BERWICK, Victoria",70,Specialized Drone Service Provider,https://skydrone.com.au
DIATREME RESOURCES LIMITED,"COORPAROO, Queensland",70,Industrial/Engineering Entity,https://diatremeresources.com.au
SKY SITE AVIATION PTY LTD,"TURNTABLE CREEK, NSW",70,Specialized Drone Service Provider,https://skysiteaviation.com.au
COLLIERS INTERNATIONAL ENGINEERING & DESIGN (NSW) PTY LIMITED,"RHODES, NSW",70,Industrial/Engineering Entity,https://www.google.com/search?q=COLLIERS+INTERNATIONAL+ENGINEERING+and+DESIGN+NSW+PTY+official+website+Australia
