Company Name,Responsible Person
Anduril Industries,Brad Burnett
Levi Johnson,Levi Johnson
Terabase Energy,Mason McGinty
Las Vegas Metropolitan Police Department,Steve Oscar
Robota LLC,Antonio Liska
Derry Township Police Department,Dennis Eckenrode
Weiqiang Chu,Weiqiang Chu
Dale Mord,Dale Mord
Blip Delivery Inc,Aharon Levi
Lett Aviation,John Lett
Pinnacle Drone Light Shows,John Eric Henry
Dustin Cole,Dustin Cole
Hampton Township Public Safety,Ryan Neveau
City of Whiteville Fire Department,Jeremy Hooks
Normal Police Department,Ethan Weniger
"FlyGuys, Inc.",Luke Butler
Peter Davis,Peter Davis
Bronto,Daniel Landry
Valero Energy Corporation,Ben Lewis
SkyDart LLC,Brandon Abarra-Smith
James Mudd,James Mudd
Gulf Coast Sky Spectra,Justin Flores
Skydio Inc.,Madison Taylor
Thrive SMP /Stone Mountain Park,Paul Creasy
Skydio Inc.,Madison Taylor
"Sentinel Robotic Solutions, LLC",Jason Taylor
OVRAIR,Tyler Friend
JOSEPH,Joseph Ghiorso
"Actualized Business Solutions, Inc.",David Zyga
,Jacob Dell
Autonodyne LLC,Keegan Barrett
3 Eye Media LLC,Ryan DeAmaral
Joaquin Parra,Joaquin Parra
Ian Aguirre,Ian Aguirre
John Anguay,John Anguay
Wing,Chris Jackman
OVRWatch,Rhys Andersen
NC State University,Justin Macialek
Roy Moore,Roy Moore
Nicholas Wong,Nicholas Wong
Jarius Scott,Jarius Scott
Verteel,Brian Monga
Douglas Skrivan,Douglas Skrivan
Thomas L3Harris,Thomas Howe
Boeing sUAS Operations,Richard Bratt
Overhead Intelligence,Roger ONeill
Freeport-McMoRan,Dylan Shorthouse
"Manna Drone Delivery, Inc",Cristian Maury
Chris Pamatian,Chris Pamatian
Justin Padgett,Justin Padgett
Robotic Services,Joseph Boucher
Matternet,Alexander Norman-Elvenich
Zipline International Inc.,Eugene McGuinness
Eric Lynton,Eric Lynton
SKYRUNNER DRONE LIGHT SHOWS LLC,David Swindell
CVE North America Inc.,Ali Yildiz
Joel Galam,Joel Galam
"General Dynamics Information Technology, Inc",Girard Tell
Cameron Grant,Cameron Grant
Air Views Media LLC,Charles Lupton
"Manna Drone Delivery, Inc",Cristian Maury
Swatara Township Fire Dept,John Harlacker
Flying Monster,Jon Graham
Camden Remington,Camden Remington
Anthony Goblirsch,Anthony Goblirsch
Dashaun Duffy,Dashaun Duffy
Drone Express,Russell Kline
Roman Yuferev,Roman Yuferev
Ryan Kolt,Ryan Kolt
Hollywood Drone Kings,Cory Hart
Tyler MacCready,Tyler MacCready
CamDrone,Dale Porter
Osmose Utilities Services,Jonathan Harris
Jim Ray,Jim Ray
Wilbert Fitzgerald,Wilbert Fitzgerald
Swiflite Aircraft Corporation,Dylan Allen
Dov Dukes,Dov Dukes
Springfield Ma Police Department,David Martin
Humboldt County Sheriff's Office,Eric Losey
Shell Pipeline Company,Reggie Wycoff
Helios Visions,Tyler Gibson
"Rising Tide Technology Group, Inc",Matthew Merced
Ryan Swartzlander,Ryan Swartzlander
Ameren,James Pierce
BRINC,Gino Basilotta
Daniel Kaslick,Daniel Kaslick
William Hamblin,William Hamblin
Chase Crouch,Chase Crouch
Wyatt Saborowski,Wyatt Saborowski
"KBR, Inc",Nicholas Stuart
GATX Corporation,Anders Faurholdt
The Ohio Department of Transportation,Daniel Kammer
Nathanael L Harris,Nathanael Harris
Dove Aerial Services LLC,Roy Dove
St. Lucie County Sheriff,Tyson Harrison
Chevron North America,Richard Hurley
Jeremy Okada,Jeremy Okada
Aerovironment Inc.,David Aguilar
DSDrone,Nathan Deremer
Dmitry Lisenskiy,Dmitry Lisenskiy
Kevin Gallegos,Kevin Gallegos
Eric Haggart,Eric Haggart
Daniel Bouchee,Daniel Bouchee
Great River Energy,Andrew Regnier
Energix Renewables,Santos Guerra
West Milwaukee Police Department,Travis Day
Highlands County Sheriffs Office,Glenn Burnsed
Cable News Network,Efrem Nidam
Angelo Fiorini,Angelo Fiorini
Airborne Lens Photography,Sean Flynn
Joshua Marriott,Brian Owens
"Verge, Inc.",Anthony Samaritano
Kraus Hamdani Aerospace Inc,Tim Wells
Anduril Industries,Tyler Sterkel
Dong Won Lee,Dong Won Lee
Air Vision,Scott Currin
SkyGlow Drones,Michael Haygood
Robert Mills,Robert Mills
TomStout,Thomas Stout
Mark Kottke,Mark Kottke
Daniel Sanchez,Daniel Sanchez
"Bella Wings Aviation, LLC",Charlie Hermosa
BCI Entertainment,Andrew Ackmann
LunaLite Drone Show Technologies LLC,Adrian Allen
Milky Way Drones,Sean Kovacs
Sky Harmony,Robert Harmon
