rank,score,siren,company_name,trade_name,acronym,naf_code,employee_band,company_category,founded_date,city,signals,website_to_enrich,linkedin_to_enrich
85,80,934013764,JGM DRONE,,,71.20B,NN,,2024-10-01,,NAF_A:71.20B|generic_name|structured|PME/micro,,
86,80,934216185,DRONE XPRESS,,,80.10Z,NN,,2024-10-10,,NAF_A:80.10Z|generic_name|structured|PME/micro,,
87,80,938887379,HYDRONET 360,,,71.12B,NN,,2024-11-30,,NAF_A:71.12B|generic_name|structured|PME/micro,,
88,80,940518269,VISION DRONES BOURGOGNE,,,71.20B,NN,,2025-02-04,,NAF_A:71.20B|generic_name|structured|PME/micro,,
89,80,941824328,F2 DRONE,,,71.12B,NN,,2025-03-04,,NAF_A:71.12B|generic_name|structured|PME/micro,,
90,80,945114171,DRONE PLANET ECO ROBOTS,,DPER,71.12B,NN,,2025-05-24,,NAF_A:71.12B|generic_name|structured|PME/micro,,
91,80,948853908,BIO DRONES FRANCE,,,71.12B,NN,PME,2023-02-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
92,80,949477426,MKX DRONES,,,71.12B,NN,PME,2023-02-24,,NAF_A:71.12B|generic_name|structured|PME/micro,,
93,80,952686301,AQUA AIR DRONE,,AAD,71.20B,NN,PME,2023-08-01,,NAF_A:71.20B|generic_name|structured|PME/micro,,
94,80,953459856,NAUTIDRONE,,,71.20B,NN,PME,2023-06-14,,NAF_A:71.20B|generic_name|structured|PME/micro,,
95,80,977616929,TOPODRONE,,,71.12B,NN,PME,2023-06-28,,NAF_A:71.12B|generic_name|structured|PME/micro,,
96,80,977624394,XENODRONE,,,71.12B,NN,PME,2023-06-29,,NAF_A:71.12B|generic_name|structured|PME/micro,,
97,80,978219962,DRONE & EAU PICARDIE,,DEP,71.20B,NN,PME,2023-07-12,,NAF_A:71.20B|generic_name|structured|PME/micro,,
98,80,978837458,DRONEXPLORE,,,71.20B,NN,PME,2023-08-22,,NAF_A:71.20B|generic_name|structured|PME/micro,,
99,80,979950813,AZIMUT-DRONE,,,71.12B,NN,PME,2023-07-25,,NAF_A:71.12B|generic_name|structured|PME/micro,,
100,80,980805295,ECORES DRONE,,,71.12B,NN,PME,2023-10-05,,NAF_A:71.12B|generic_name|structured|PME/micro,,
101,80,981055783,GEO DRONE XPERT,,GDX,71.12B,NN,PME,2023-11-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
102,80,981397854,DRONES DOCKING STATIONS,,DDS,71.12B,NN,PME,2023-11-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
103,80,982285306,DRONE FLY INSPECT,,,71.20B,NN,PME,2023-12-01,,NAF_A:71.20B|generic_name|structured|PME/micro,,
