siren,company_name,trade_name,acronym,naf_code,legal_form_code,employee_band,has_employees,company_category,created_date,composite_score,rank,region,signal_source,filter_version,extracted_at,notes
950777649,AGRODRONE,,,71.12B,5710,01,False,PME,2023-03-20,20,132,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
499246387,AQUAVAGUE PISCINES,AQUAVAGUE PISCINES,,46.18Z,5499,02,False,PME,2007-07-06,20,133,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
808696314,DRONE IMMERSION,,,74.90B,5499,NN,False,PME,2015-01-02,20,134,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
883070484,DRONE EXPERT',,,71.12B,5499,NN,False,PME,2020-03-31,20,135,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
891602302,PRESTADRONES,,,71.20B,5499,NN,False,PME,2020-11-19,20,136,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
915111751,DRONE AQUITAINE,,,74.90B,5710,02,False,PME,2022-06-01,20,137,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
910733690,ADRONE +,,,71.20B,5499,NN,False,PME,2022-01-13,20,138,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
823427315,"RIVERDRONE, AQUATIC DRONE TECHNOLOGY",,RADT,30.11Z,5499,01,False,PME,2016-09-18,19,139,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
814949178,URBANDRONE,,,62.01Z,5710,NN,False,PME,2015-11-24,19,140,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
898267653,EXADRONE SERVICES,,,74.20Z,5710,01,False,PME,2021-04-01,19,141,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
788867380,DRONE IMAGES SOLUTIONS,,,59.11B,5499,01,False,PME,2012-10-01,19,142,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
829824663,R'DRONES SERVICES,,,74.20Z,5499,NN,False,PME,2017-05-20,19,143,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
914234992,BERINGER DIAG & DRONE,,,71.20B,5499,01,False,PME,2022-06-03,19,144,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
810518233,DRONE ECO SERVICES,,,59.11B,5499,NN,False,PME,2015-03-01,19,145,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
842477671,SAS DRONES EXPERTISES 2.9,,,71.20B,5710,NN,False,,2018-09-19,19,146,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
807928031,DEFIS-DRONE,,,71.12B,5710,NN,False,,2014-11-18,19,147,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
790047708,SUAVET SERVICES,,,81.21Z,5499,NN,False,PME,2012-12-17,19,148,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
980830806,DRONE X SOLUTIONS,,,71.20B,5499,NN,False,PME,2023-10-18,19,149,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
980805295,ECORES DRONE,,,71.12B,5710,NN,False,PME,2023-10-05,18,150,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
394299283,AQUAVI,,,47.52A,5710,01,False,PME,1994-03-02,18,151,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
981055783,GEO DRONE XPERT,,GDX,71.12B,5710,NN,False,PME,2023-11-01,18,152,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
981397854,DRONES DOCKING STATIONS,,DDS,71.12B,5710,NN,False,PME,2023-11-01,18,153,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
444531115,,ACQUAVERDE,,47.76Z,1000,02,False,PME,2003-01-10,18,154,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
978837458,DRONEXPLORE,,,71.20B,5710,NN,False,PME,2023-08-22,18,155,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
884883687,DRONE UP ACADEMY,,,85.59B,5710,02,False,PME,2020-06-19,18,156,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
883422941,LTN DRONE EXPERTISE,,,74.90B,5710,NN,False,PME,2020-04-23,18,157,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
534709704,AIRDRONE,,,59.11B,5710,01,False,PME,2011-10-01,18,158,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
790789259,SPAD SERVICES ET PHOTOS AERIENS PAR DRONE,,,74.20Z,5499,NN,False,PME,2013-01-14,18,159,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
500207568,GUAVA INTERACTIVE,,,63.11Z,5499,NN,False,PME,2007-10-15,18,160,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
499912483,DRONEXPLORER,FRONEXPLORER,,71.12B,5499,NN,False,,2007-09-15,18,161,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
977616929,TOPODRONE,,,71.12B,5710,NN,False,PME,2023-06-28,18,162,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
977624394,XENODRONE,,,71.12B,5710,NN,False,PME,2023-06-29,18,163,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
823260229,R DRONE VIEW,,,74.20Z,5710,01,False,PME,2016-10-18,18,164,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
823121835,DRONE LIVE,,,74.20Z,5710,01,False,PME,2016-09-29,18,165,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
